CustomerID,Name,Region,Email
1,Charlie Sr.,East,user1@example.com
2,David Sr.,,user2@example.com
3,Bob,,user3@example.com
4, Sr.,North,
5,Charlie ,South,user5@example.com
6, Jr.,South,
7,Charlie,East,user7@example.com
8,Eva Sr.,South,user8@example.com
9,Charlie Sr.,North,
10, Sr.,East,
11,Bob ,West,user11@mail.com
12,Alice,East,
13, Sr.,,user13@mail.com
14,Eva,West,user14@example.com
15,Charlie ,West,
16,,South,
17,Bob Sr.,North,user17@mail.com
18,David,East,user18@mail.com
19,Alice Sr.,South,
20,Alice Sr.,North,
21,David,West,user21@example.com
22,Bob Sr.,South,
23,Charlie,East,user23@mail.com
24, Jr.,West,
25,Charlie,,
26,Eva Sr.,North,user26@example.com
27,Bob ,South,user27@mail.com
28,Alice Jr.,South,user28@mail.com
29,David Sr.,East,user29@mail.com
30,David Jr.,South,user30@example.com
31,Alice,East,user31@mail.com
32,Alice,East,
33,Bob Jr.,North,user33@mail.com
34,Eva,South,user34@example.com
35,Bob Jr.,North,
36,Eva Sr.,East,
37, Sr.,,user37@example.com
38, Jr.,South,user38@mail.com
39,Charlie ,East,
40,David ,South,user40@mail.com
41,Bob ,East,user41@mail.com
42,Bob Sr.,South,
43,David Sr.,,user43@mail.com
44,Bob,South,user44@mail.com
45,Eva ,North,
46,David Sr.,,
47,Eva,East,
48,Eva,South,user48@mail.com
49,Eva,West,user49@example.com
50,David Sr.,North,user50@mail.com
51,,North,user51@mail.com
52,David ,,
53,Bob,West,user53@mail.com
54,Alice Sr.,East,user54@mail.com
55,Bob ,,
56,David Jr.,,user56@example.com
57,David,North,
58,,West,
59,Eva Sr.,East,
60,Bob ,West,user60@mail.com
61,Charlie ,,user61@mail.com
62,Eva,West,user62@example.com
63,Bob Sr.,North,user63@mail.com
64,Alice ,South,
65,Eva Jr.,East,user65@example.com
66,,West,
67, ,South,user67@example.com
68,Eva Sr.,North,user68@example.com
69, ,North,user69@example.com
70, Jr.,East,user70@mail.com
71,Alice,West,user71@mail.com
72,Alice Sr.,North,user72@mail.com
73,David,East,
74,David,North,user74@mail.com
75,Charlie Sr.,North,user75@example.com
76,Alice Sr.,South,user76@mail.com
77,Alice Sr.,,user77@example.com
78,Bob ,North,user78@mail.com
79,Eva ,,user79@mail.com
80,Alice Jr.,,user80@example.com
81,Alice ,South,user81@example.com
82,Bob Jr.,,user82@mail.com
83,Bob,East,user83@example.com
84,David Sr.,South,user84@example.com
85,Bob ,North,user85@example.com
86,,North,user86@example.com
87,Bob Sr.,West,user87@example.com
88,,,user88@mail.com
89,Bob ,East,user89@example.com
90,Alice ,North,
91,Bob Sr.,South,user91@mail.com
92,Alice,,
93,David,South,user93@example.com
94,Charlie,South,
95,Charlie,,user95@mail.com
96,Bob ,,user96@mail.com
97,Alice Sr.,East,user97@mail.com
98,David Sr.,East,
99,Charlie Jr.,South,user99@example.com
100,Charlie Jr.,North,user100@example.com
101,David ,West,
102,Bob ,West,
103,Bob ,North,user103@mail.com
104,Charlie Sr.,West,user104@example.com
105, Sr.,South,user105@example.com
106,Eva Jr.,North,
107, ,,user107@example.com
108,,West,user108@mail.com
109,David Sr.,West,user109@example.com
110,Alice Sr.,,user110@mail.com
111,Charlie Sr.,East,
112,David Sr.,East,
113,Eva ,North,user113@mail.com
114,Charlie Jr.,,user114@mail.com
115,Eva Sr.,West,
116,Bob Jr.,South,user116@example.com
117,,North,user117@example.com
118,Eva,East,user118@mail.com
119,,,
120, Sr.,North,user120@example.com
121,Alice,West,
122,Eva ,,user122@mail.com
123,Alice,East,
124, ,,user124@example.com
125,,,user125@example.com
126,Charlie,East,
127, Jr.,North,
128, Jr.,,user128@example.com
129,Eva,North,
130,Charlie,North,user130@mail.com
131,Eva Sr.,West,user131@mail.com
132,David ,,user132@example.com
133,David ,South,user133@mail.com
134,Bob,West,user134@example.com
135, Sr.,,user135@mail.com
136, Jr.,,user136@mail.com
137,Eva,North,
138,Bob Jr.,East,
139,Charlie Sr.,North,
140,,North,user140@example.com
141, Jr.,,user141@mail.com
142,Alice,West,
143, ,West,user143@example.com
144, ,,user144@mail.com
145,David Sr.,East,user145@example.com
146,Bob Jr.,East,user146@example.com
147,Bob,,user147@mail.com
148,Alice Sr.,East,user148@mail.com
149,David Jr.,East,
150,David Sr.,North,user150@example.com
151,Charlie Jr.,,user151@mail.com
152,Eva Sr.,West,user152@mail.com
153,Eva,South,user153@example.com
154,Bob Sr.,South,
155,Eva Sr.,East,user155@mail.com
156,David,East,
157, Jr.,North,user157@mail.com
158, ,,
159,Charlie ,North,
160,David Jr.,North,
161,Bob Sr.,South,user161@mail.com
162,Charlie ,East,user162@example.com
163,Bob ,,user163@example.com
164,David Sr.,North,user164@mail.com
165,Alice,,user165@example.com
166,Alice ,West,user166@example.com
167, ,East,user167@mail.com
168,Eva ,,user168@example.com
169,Bob Sr.,East,
170,Alice Sr.,,user170@example.com
171,Charlie,East,user171@mail.com
172,Bob Sr.,,user172@example.com
173,,,user173@mail.com
174,Alice Jr.,West,user174@example.com
175,,West,
176,David Jr.,,user176@mail.com
177,Charlie Jr.,North,
